"sex","lh","l","m","s","p_type","p_value"
"boys",78.7,-0.3521,10.2105,0.08317,"0.10th",7.983
"boys",78.8,-0.3521,10.2286,0.08317,"0.10th",7.998
"boys",78.9,-0.3521,10.2468,0.08316,"0.10th",8.012
"boys",79,-0.3521,10.2649,0.08316,"0.10th",8.026
"boys",79.1,-0.3521,10.2831,0.08315,"0.10th",8.041
"boys",79.2,-0.3521,10.3012,0.08315,"0.10th",8.055
"boys",79.3,-0.3521,10.3194,0.08314,"0.10th",8.069
"boys",79.4,-0.3521,10.3376,0.08313,"0.10th",8.084
"boys",79.5,-0.3521,10.3558,0.08313,"0.10th",8.098
"boys",79.6,-0.3521,10.3741,0.08312,"0.10th",8.113
"boys",79.7,-0.3521,10.3923,0.08311,"0.10th",8.127
"boys",79.8,-0.3521,10.4107,0.0831,"0.10th",8.142
"boys",79.9,-0.3521,10.4291,0.08309,"0.10th",8.156
"boys",80,-0.3521,10.4475,0.08308,"0.10th",8.171
"boys",80.1,-0.3521,10.466,0.08307,"0.10th",8.186
"boys",80.2,-0.3521,10.4845,0.08305,"0.10th",8.201
"boys",80.3,-0.3521,10.5031,0.08304,"0.10th",8.215
"boys",80.4,-0.3521,10.5217,0.08303,"0.10th",8.23
"boys",80.5,-0.3521,10.5405,0.08301,"0.10th",8.245
"boys",80.6,-0.3521,10.5592,0.083,"0.10th",8.26
"boys",80.7,-0.3521,10.5781,0.08298,"0.10th",8.275
"boys",80.8,-0.3521,10.597,0.08297,"0.10th",8.29
"boys",80.9,-0.3521,10.6161,0.08295,"0.10th",8.306
"boys",81,-0.3521,10.6352,0.08293,"0.10th",8.321
"boys",81.1,-0.3521,10.6544,0.08291,"0.10th",8.337
"boys",81.2,-0.3521,10.6737,0.0829,"0.10th",8.352
"boys",81.3,-0.3521,10.6931,0.08288,"0.10th",8.368
"boys",81.4,-0.3521,10.7126,0.08286,"0.10th",8.383
"boys",81.5,-0.3521,10.7322,0.08284,"0.10th",8.399
"boys",81.6,-0.3521,10.752,0.08282,"0.10th",8.415
"boys",81.7,-0.3521,10.7718,0.08279,"0.10th",8.431
"boys",81.8,-0.3521,10.7918,0.08277,"0.10th",8.448
"boys",81.9,-0.3521,10.8119,0.08275,"0.10th",8.464
"boys",82,-0.3521,10.8321,0.08273,"0.10th",8.48
"boys",82.1,-0.3521,10.8524,0.0827,"0.10th",8.497
"boys",82.2,-0.3521,10.8728,0.08268,"0.10th",8.513
"boys",82.3,-0.3521,10.8934,0.08265,"0.10th",8.53
"boys",82.4,-0.3521,10.9142,0.08263,"0.10th",8.547
"boys",82.5,-0.3521,10.935,0.0826,"0.10th",8.564
"boys",82.6,-0.3521,10.956,0.08258,"0.10th",8.581
"boys",82.7,-0.3521,10.9772,0.08255,"0.10th",8.598
"boys",82.8,-0.3521,10.9985,0.08252,"0.10th",8.615
"boys",82.9,-0.3521,11.0199,0.08249,"0.10th",8.633
"boys",83,-0.3521,11.0415,0.08246,"0.10th",8.651
"boys",83.1,-0.3521,11.0632,0.08244,"0.10th",8.668
"boys",83.2,-0.3521,11.0851,0.08241,"0.10th",8.686
"boys",83.3,-0.3521,11.1071,0.08238,"0.10th",8.704
"boys",83.4,-0.3521,11.1293,0.08235,"0.10th",8.722
"boys",83.5,-0.3521,11.1516,0.08231,"0.10th",8.741
"boys",83.6,-0.3521,11.174,0.08228,"0.10th",8.759
"boys",83.7,-0.3521,11.1966,0.08225,"0.10th",8.777
"boys",83.8,-0.3521,11.2193,0.08222,"0.10th",8.796
"boys",83.9,-0.3521,11.2422,0.08219,"0.10th",8.815
"boys",84,-0.3521,11.2651,0.08215,"0.10th",8.834
"boys",84.1,-0.3521,11.2882,0.08212,"0.10th",8.852
"boys",84.2,-0.3521,11.3114,0.08209,"0.10th",8.871
"boys",84.3,-0.3521,11.3347,0.08205,"0.10th",8.891
"boys",84.4,-0.3521,11.3581,0.08202,"0.10th",8.91
"boys",84.5,-0.3521,11.3817,0.08198,"0.10th",8.929
"boys",84.6,-0.3521,11.4053,0.08195,"0.10th",8.949
"boys",84.7,-0.3521,11.429,0.08191,"0.10th",8.968
"boys",84.8,-0.3521,11.4529,0.08188,"0.10th",8.988
"boys",84.9,-0.3521,11.4768,0.08184,"0.10th",9.007
"boys",85,-0.3521,11.5007,0.08181,"0.10th",9.027
"boys",85.1,-0.3521,11.5248,0.08177,"0.10th",9.047
"boys",85.2,-0.3521,11.549,0.08174,"0.10th",9.067
"boys",85.3,-0.3521,11.5732,0.0817,"0.10th",9.087
"boys",85.4,-0.3521,11.5975,0.08166,"0.10th",9.107
"boys",85.5,-0.3521,11.6218,0.08163,"0.10th",9.127
"boys",85.6,-0.3521,11.6462,0.08159,"0.10th",9.147
"boys",85.7,-0.3521,11.6707,0.08156,"0.10th",9.167
"boys",85.8,-0.3521,11.6952,0.08152,"0.10th",9.187
"boys",85.9,-0.3521,11.7198,0.08148,"0.10th",9.208
"boys",86,-0.3521,11.7444,0.08145,"0.10th",9.228
"boys",86.1,-0.3521,11.769,0.08141,"0.10th",9.248
